"symbol","date","open","high","low","close","volume","adjusted"
"GC=F",2023-11-10,1959.59997558594,1959.59997558594,1932.59997558594,1932.59997558594,375,1932.59997558594
"GC=F",2023-11-13,1939.90002441406,1947.19995117188,1934,1945.5,191,1945.5
"GC=F",2023-11-14,1965.80004882812,1965.80004882812,1961.80004882812,1961.80004882812,2,1961.80004882812
"GC=F",2023-11-15,1962.80004882812,1962.80004882812,1960,1960.09997558594,6,1960.09997558594
"GC=F",2023-11-16,1965.30004882812,1983.90002441406,1964.59997558594,1983.90002441406,39,1983.90002441406
"GC=F",2023-11-17,1982.5,1984,1979.80004882812,1981.59997558594,32,1981.59997558594
"GC=F",2023-11-20,1978.69995117188,1979.40002441406,1969.69995117188,1977.69995117188,182,1977.69995117188
"GC=F",2023-11-21,1990.69995117188,2005.5,1988.5,1999.30004882812,16,1999.30004882812
"GC=F",2023-11-22,1999.09997558594,1999.40002441406,1991,1991.40002441406,6075,1991.40002441406
"GC=F",2023-11-23,NA,NA,NA,NA,NA,NA
"GC=F",2023-11-24,1991.90002441406,2002.19995117188,1991.5,2002.19995117188,63,2002.19995117188
"GC=F",2023-11-27,2011.69995117188,2011.80004882812,2011.69995117188,2011.80004882812,228,2011.80004882812
"GC=F",2023-11-28,2040.59997558594,2042.69995117188,2039.69995117188,2039.69995117188,174665,2039.69995117188
"GC=F",2023-11-29,2041.69995117188,2052.10009765625,2036,2047.09997558594,15290,2047.09997558594
"GC=F",2023-11-30,2046.09997558594,2047.09997558594,2033.09997558594,2038.09997558594,2506,2038.09997558594
"GC=F",2023-12-01,2038.30004882812,2073.19995117188,2036,2071,614,2071
"GC=F",2023-12-04,2075.30004882812,2130.19995117188,2021,2024.09997558594,1071,2024.09997558594
"GC=F",2023-12-05,2035.09997558594,2037,2010.19995117188,2018.5,289,2018.5
"GC=F",2023-12-06,2019.90002441406,2035.80004882812,2019,2030.5,417,2030.5
"GC=F",2023-12-07,2029.19995117188,2034.90002441406,2024,2029.90002441406,67,2029.90002441406
"GC=F",2023-12-08,2031.69995117188,2033.09997558594,1995,1998.30004882812,449,1998.30004882812
"GC=F",2023-12-11,2004.09997558594,2004.19995117188,1977.19995117188,1978,651,1978
"GC=F",2023-12-12,1984.19995117188,1994.19995117188,1977.80004882812,1977.80004882812,95,1977.80004882812
"GC=F",2023-12-13,1978.5,2024.80004882812,1975,1982.30004882812,2252,1982.30004882812
"GC=F",2023-12-14,2024.69995117188,2040.09997558594,2024.30004882812,2030.19995117188,236,2030.19995117188
"GC=F",2023-12-15,2032.59997558594,2043.40002441406,2018.30004882812,2021.09997558594,261,2021.09997558594
"GC=F",2023-12-18,2024.30004882812,2032.80004882812,2024,2026.30004882812,100,2026.30004882812
"GC=F",2023-12-19,2025.19995117188,2042.69995117188,2025.19995117188,2038.40002441406,498,2038.40002441406
"GC=F",2023-12-20,2037.09997558594,2037.09997558594,2030.30004882812,2034.5,258,2034.5
"GC=F",2023-12-21,2035.80004882812,2044.5,2033,2039.09997558594,228,2039.09997558594
"GC=F",2023-12-22,2055.69995117188,2068.69995117188,2052.19995117188,2057.10009765625,202,2057.10009765625
"GC=F",2023-12-26,2060,2060.80004882812,2054.19995117188,2058.19995117188,64,2058.19995117188
"GC=F",2023-12-27,2067.30004882812,2081.89990234375,2064.80004882812,2081.89990234375,586,2081.89990234375
"GC=F",2023-12-28,2081.60009765625,2087.30004882812,2066.5,2073.89990234375,338,2073.89990234375
"GC=F",2023-12-29,2068,2068.89990234375,2062.10009765625,2062.39990234375,47,2062.39990234375
"GC=F",2024-01-02,2063.5,2073.69995117188,2057.10009765625,2064.39990234375,61,2064.39990234375
